Date/Time,System,MCM,RCV0,RCV1,EL,AZ,GPS,IRT,S3,PMB
01/31/2021 04:40:15,0,2,2,0,2,2,2,2,0,2
01/31/2021 04:41:59,0,2,2,0,2,2,2,2,0,2
01/31/2021 04:43:43,0,2,2,0,2,2,2,2,2,2
01/31/2021 04:45:26,0,2,2,0,2,2,2,2,2,2
01/31/2021 04:47:11,0,2,2,0,2,2,2,2,2,2
01/31/2021 04:48:55,0,2,2,0,2,2,2,2,2,2
01/31/2021 04:50:39,0,2,2,0,2,2,2,2,2,2
01/31/2021 04:52:23,0,2,2,0,2,2,2,2,2,2
01/31/2021 04:54:06,0,2,2,0,2,2,2,2,2,2
01/31/2021 04:55:51,0,2,2,0,2,2,2,2,2,2
01/31/2021 04:57:35,0,2,2,0,2,2,2,2,2,2
01/31/2021 04:59:19,0,2,2,0,2,2,2,2,2,2
01/31/2021 05:01:03,0,2,2,0,2,2,2,2,2,2
01/31/2021 05:02:47,0,2,2,0,2,2,2,2,2,2
01/31/2021 05:04:31,0,2,2,0,2,2,2,2,2,2
01/31/2021 05:06:15,0,2,2,0,2,2,2,2,2,2
01/31/2021 05:07:58,0,2,2,0,2,2,2,2,2,2
01/31/2021 05:09:42,0,2,2,0,2,2,2,2,2,2
01/31/2021 05:11:26,0,2,2,0,2,2,2,2,2,2
01/31/2021 05:13:10,0,2,2,0,2,2,2,2,2,2
01/31/2021 05:14:55,0,2,2,0,2,2,2,2,2,2
01/31/2021 05:16:39,0,2,2,0,2,2,2,2,2,2
01/31/2021 05:18:23,0,2,2,0,2,2,2,2,2,2
01/31/2021 05:20:08,0,2,2,0,2,2,2,2,2,2
01/31/2021 05:21:52,0,2,2,0,2,2,2,2,2,2
01/31/2021 05:23:36,0,2,2,0,2,2,2,2,2,2
01/31/2021 05:25:20,0,2,2,0,2,2,2,2,2,2
01/31/2021 05:27:04,0,2,2,0,2,2,2,2,2,2
01/31/2021 05:28:48,0,2,2,0,2,2,2,2,2,2
01/31/2021 05:30:32,0,2,2,0,2,2,2,2,2,2
01/31/2021 05:32:16,0,2,2,0,2,2,2,2,2,2
01/31/2021 05:33:59,0,2,2,0,2,2,2,2,2,2
01/31/2021 05:35:43,0,2,2,0,2,2,2,2,0,2
01/31/2021 05:37:28,0,2,2,0,2,2,2,2,0,2
01/31/2021 05:39:11,0,2,2,0,2,2,2,2,0,2
01/31/2021 05:40:55,0,2,2,0,2,2,2,2,0,2
01/31/2021 05:42:38,0,2,2,0,2,2,2,2,0,2
01/31/2021 05:44:22,0,2,2,0,2,2,2,2,0,2
01/31/2021 05:46:06,0,2,2,0,2,2,2,2,0,2
01/31/2021 05:47:50,0,2,2,0,2,2,2,2,0,2
01/31/2021 05:49:34,0,2,2,0,2,2,2,2,0,2
01/31/2021 05:51:18,0,2,2,0,2,2,2,2,0,2
01/31/2021 05:53:02,0,2,2,0,2,2,2,2,0,2
01/31/2021 05:54:46,0,2,2,0,2,2,2,2,0,2
01/31/2021 05:56:30,0,2,2,0,2,2,2,2,0,2
01/31/2021 05:58:14,0,2,2,0,2,2,2,2,0,2
01/31/2021 05:59:59,0,2,2,0,2,2,2,2,0,2
01/31/2021 06:01:42,0,2,2,0,2,2,2,2,0,2
01/31/2021 06:03:27,0,2,2,0,2,2,2,2,0,2
01/31/2021 06:05:12,0,2,2,0,2,2,2,2,0,2
01/31/2021 06:06:56,0,2,2,0,2,2,2,2,0,2
01/31/2021 06:08:39,0,2,2,0,2,2,2,2,0,2
01/31/2021 06:10:24,0,2,2,0,2,2,2,2,0,2
01/31/2021 06:12:08,0,2,2,0,2,2,2,2,0,2
01/31/2021 06:13:52,0,2,2,0,2,2,2,2,0,2
01/31/2021 06:15:36,0,2,2,0,2,2,2,2,0,2
01/31/2021 06:17:21,0,2,2,0,2,2,2,2,0,2
01/31/2021 06:19:04,0,2,2,0,2,2,2,2,0,2
01/31/2021 06:20:48,0,2,2,0,2,2,2,2,0,2
01/31/2021 06:22:32,0,2,2,0,2,2,2,2,0,2
01/31/2021 06:24:16,0,2,2,0,2,2,2,2,0,2
01/31/2021 06:26:00,0,2,2,0,2,2,2,2,0,2
01/31/2021 06:27:44,0,2,2,0,2,2,2,2,0,2
01/31/2021 06:29:28,0,2,2,0,2,2,2,2,0,2
01/31/2021 06:31:12,0,2,2,0,2,2,2,2,0,2
01/31/2021 06:32:55,0,2,2,0,2,2,2,2,0,2
01/31/2021 06:34:39,0,2,2,0,2,2,2,2,0,2
01/31/2021 06:36:24,0,2,2,0,2,2,2,2,0,2
01/31/2021 06:38:08,0,2,2,0,2,2,2,2,0,2
01/31/2021 06:39:52,0,2,2,0,2,2,2,2,0,2
01/31/2021 06:41:36,0,2,2,0,2,2,2,2,0,2
01/31/2021 06:43:20,0,2,2,0,2,2,2,2,0,2
01/31/2021 06:45:04,0,2,2,0,2,2,2,2,0,2
01/31/2021 06:46:49,0,2,2,0,2,2,2,2,0,2
01/31/2021 06:48:33,0,2,2,0,2,2,2,2,0,2
01/31/2021 06:50:17,0,2,2,0,2,2,2,2,0,2
01/31/2021 06:52:01,0,2,2,0,2,2,2,2,0,2
01/31/2021 06:53:45,0,2,2,0,2,2,2,2,0,2
01/31/2021 06:55:30,0,2,2,0,2,2,2,2,0,2
01/31/2021 06:57:14,0,2,2,0,2,2,2,2,0,2
01/31/2021 06:58:58,0,2,2,0,2,2,2,2,0,2
01/31/2021 07:00:42,0,2,2,0,2,2,2,2,0,2
01/31/2021 07:02:26,0,2,2,0,2,2,2,2,0,2
01/31/2021 07:04:10,0,2,2,0,2,2,2,2,0,2
01/31/2021 07:05:54,0,2,2,0,2,2,2,2,0,2
01/31/2021 07:07:38,0,2,2,0,2,2,2,2,0,2
01/31/2021 07:09:22,0,2,2,0,2,2,2,2,0,2
01/31/2021 07:11:05,0,2,2,0,2,2,2,2,0,2
01/31/2021 07:12:49,0,2,2,0,2,2,2,2,0,2
01/31/2021 07:14:33,0,2,2,0,2,2,2,2,0,2
01/31/2021 07:16:17,0,2,2,0,2,2,2,2,0,2
01/31/2021 07:18:01,0,2,2,0,2,2,2,2,0,2
01/31/2021 07:19:45,0,2,2,0,2,2,2,2,0,2
01/31/2021 07:21:29,0,2,2,0,2,2,2,2,0,2
01/31/2021 07:23:14,0,2,2,0,2,2,2,2,0,2
01/31/2021 07:24:59,0,2,2,0,2,2,2,2,0,2
01/31/2021 07:26:43,0,2,2,0,2,2,2,2,0,2
01/31/2021 07:28:27,0,2,2,0,2,2,2,2,0,2
01/31/2021 07:30:10,0,2,2,0,2,2,2,2,0,2
01/31/2021 07:31:54,0,2,2,0,2,2,2,2,0,2
01/31/2021 07:33:38,0,2,2,0,2,2,2,2,0,2
01/31/2021 07:35:22,0,2,2,0,2,2,2,2,0,2
01/31/2021 07:37:06,0,2,2,0,2,2,2,2,0,2
01/31/2021 07:38:50,0,2,2,0,2,2,2,2,0,2
01/31/2021 07:40:33,0,2,2,0,2,2,2,2,0,2
01/31/2021 07:42:17,0,2,2,0,2,2,2,2,0,2
01/31/2021 07:44:01,0,2,2,0,2,2,2,2,0,2
01/31/2021 07:45:45,0,2,2,0,2,2,2,2,0,2
01/31/2021 07:47:30,0,2,2,0,2,2,2,2,0,2
01/31/2021 07:49:14,0,2,2,0,2,2,2,2,0,2
01/31/2021 07:50:57,0,2,2,0,2,2,2,2,0,2
01/31/2021 07:52:41,0,2,2,0,2,2,2,2,0,2
01/31/2021 07:54:25,0,2,2,0,2,2,2,2,0,2
01/31/2021 07:56:09,0,2,2,0,2,2,2,2,0,2
01/31/2021 07:57:53,0,2,2,0,2,2,2,2,0,2
01/31/2021 07:59:38,0,2,2,0,2,2,2,2,0,2
01/31/2021 08:01:21,0,2,2,0,2,2,2,2,0,2
01/31/2021 08:03:05,0,2,2,0,2,2,2,2,0,2
01/31/2021 08:04:49,0,2,2,0,2,2,2,2,0,2
01/31/2021 08:06:34,0,2,2,0,2,2,2,2,0,2
01/31/2021 08:08:18,0,2,2,0,2,2,2,2,0,2
01/31/2021 08:10:01,0,2,2,0,2,2,2,2,0,2
01/31/2021 08:11:45,0,2,2,0,2,2,2,2,0,2
01/31/2021 08:13:29,0,2,2,0,2,2,2,2,0,2
01/31/2021 08:15:13,0,2,2,0,2,2,2,2,0,2
01/31/2021 08:16:58,0,2,2,0,2,2,2,2,0,2
01/31/2021 08:18:42,0,2,2,0,2,2,2,2,0,2
01/31/2021 08:20:26,0,2,2,0,2,2,2,2,0,2
01/31/2021 08:22:10,0,2,2,0,2,2,2,2,0,2
01/31/2021 08:23:54,0,2,2,0,2,2,2,2,0,2
01/31/2021 08:25:38,0,2,2,0,2,2,2,2,0,2
01/31/2021 08:27:22,0,2,2,0,2,2,2,2,0,2
01/31/2021 08:29:07,0,2,2,0,2,2,2,2,0,2
01/31/2021 08:30:51,0,2,2,0,2,2,2,2,2,2
01/31/2021 08:32:35,0,2,2,0,2,2,2,2,2,2
01/31/2021 08:34:19,0,2,2,0,2,2,2,2,2,2
01/31/2021 08:36:03,0,2,2,0,2,2,2,2,2,2
01/31/2021 08:37:47,0,2,2,0,2,2,2,2,2,2
01/31/2021 08:39:32,0,2,2,0,2,2,2,2,2,2
01/31/2021 08:41:16,0,2,2,0,2,2,2,2,2,2
01/31/2021 08:43:00,0,2,2,0,2,2,2,2,2,2
01/31/2021 08:44:44,0,2,2,0,2,2,2,2,2,2
01/31/2021 08:46:28,0,2,2,0,2,2,2,2,2,2
01/31/2021 08:48:12,0,2,2,0,2,2,2,2,2,2
01/31/2021 08:49:56,0,2,2,0,2,2,2,2,2,2
01/31/2021 08:51:40,0,2,2,0,2,2,2,2,2,2
01/31/2021 08:53:25,0,2,2,0,2,2,2,2,2,2
01/31/2021 08:55:09,0,2,2,0,2,2,2,2,2,2
01/31/2021 08:56:54,0,2,2,0,2,2,2,2,2,2
01/31/2021 08:58:38,0,2,2,0,2,2,2,2,2,2
01/31/2021 09:00:22,0,2,2,0,2,2,2,2,2,2
01/31/2021 09:02:06,0,2,2,0,2,2,2,2,2,2
01/31/2021 09:03:50,0,2,2,0,2,2,2,2,2,2
01/31/2021 09:05:34,0,2,2,0,2,2,2,2,2,2
01/31/2021 09:07:17,0,2,2,0,2,2,2,2,2,2
01/31/2021 09:09:02,0,2,2,0,2,2,2,2,2,2
01/31/2021 09:10:46,0,2,2,0,2,2,2,2,2,2
01/31/2021 09:12:30,0,2,2,0,2,2,2,2,2,2
01/31/2021 09:14:13,0,2,2,0,2,2,2,2,2,2
01/31/2021 09:15:57,0,2,2,0,2,2,2,2,2,2
01/31/2021 09:17:41,0,2,2,0,2,2,2,2,2,2
01/31/2021 09:19:26,0,2,2,0,2,2,2,2,2,2
01/31/2021 09:21:10,0,2,2,0,2,2,2,2,2,2
01/31/2021 09:22:54,0,2,2,0,2,2,2,2,0,2
01/31/2021 09:24:38,0,2,2,0,2,2,2,2,0,2
01/31/2021 09:26:22,0,2,2,0,2,2,2,2,0,2
01/31/2021 09:28:06,0,2,2,0,2,2,2,2,0,2
01/31/2021 09:29:49,0,2,2,0,2,2,2,2,0,2
01/31/2021 09:31:33,0,2,2,0,2,2,2,2,0,2
01/31/2021 09:33:17,0,2,2,0,2,2,2,2,0,2
01/31/2021 09:35:01,0,2,2,0,2,2,2,2,0,2
01/31/2021 09:36:46,0,2,2,0,2,2,2,2,0,2
01/31/2021 09:38:30,0,2,2,0,2,2,2,2,0,2
01/31/2021 09:40:13,0,2,2,0,2,2,2,2,0,2
01/31/2021 09:41:57,0,2,2,0,2,2,2,2,0,2
01/31/2021 09:43:41,0,2,2,0,2,2,2,2,0,2
01/31/2021 09:45:25,0,2,2,0,2,2,2,2,0,2
01/31/2021 09:47:10,0,2,2,0,2,2,2,2,0,2
01/31/2021 09:48:53,0,2,2,0,2,2,2,2,0,2
01/31/2021 09:50:38,0,2,2,0,2,2,2,2,0,2
01/31/2021 09:52:22,0,2,2,0,2,2,2,2,0,2
01/31/2021 09:54:05,0,2,2,0,2,2,2,2,0,2
01/31/2021 09:55:50,0,2,2,0,2,2,2,2,0,2
01/31/2021 09:57:33,0,2,2,0,2,2,2,2,0,2
01/31/2021 09:59:18,0,2,2,0,2,2,2,2,2,2
